job,alkali,cell,c_A,delta_A,total_mag_muB,abs_mag_muB,converged,m_Co_max_muB,m_Co_sum_muB,m_Li_max_muB,m_Li_sum_muB,m_Na_max_muB,m_Na_sum_muB,m_O_max_muB,m_O_sum_muB
Li_1x1_c5.5_d0.00,Li,1x1,5.5,0.0,-0.0,0.0,True,0.0001,0.0001,0.0,0.0,,,-0.0001,-0.0002
Li_1x1_c5.5_d0.15,Li,1x1,5.5,0.15,0.0,0.0,True,0.0001,0.0001,0.0,0.0,,,-0.0001,-0.0002
Li_1x1_c5.5_d0.30,Li,1x1,5.5,0.3,-0.0,0.0,True,0.0,0.0,0.0,0.0,,,-0.0001,-0.0001
Li_1x1_c5.5_d0.50,Li,1x1,5.5,0.5,0.0,0.0,True,0.0001,0.0001,0.0,0.0,,,-0.0002,-0.0002
Li_1x1_c5.5_d0.75,Li,1x1,5.5,0.75,0.0,0.0,True,0.0001,0.0001,-0.0,0.0,,,-0.0002,-0.0002
Li_1x1_c5.5_d1.00,Li,1x1,5.5,1.0,0.0,0.0,True,0.0001,0.0001,-0.0,0.0,,,-0.0002,-0.0002
Li_1x1_c6.9_d0.00,Li,1x1,6.9,0.0,0.17,0.41,True,0.2333,0.2333,-0.0606,-0.0606,,,0.0163,0.0326
Li_1x1_c6.9_d0.15,Li,1x1,6.9,0.15,0.17,0.41,True,0.2322,0.2322,-0.0597,-0.0597,,,0.0171,0.0324
Li_1x1_c6.9_d0.30,Li,1x1,6.9,0.3,0.17,0.4,True,0.2297,0.2297,-0.0513,-0.0513,,,0.0177,0.032100000000000004
Li_1x1_c6.9_d0.50,Li,1x1,6.9,0.5,0.17,0.38,True,0.2202,0.2202,-0.0364,-0.0364,,,0.0187,0.0322
Li_1x1_c6.9_d0.75,Li,1x1,6.9,0.75,0.17,0.35,True,0.2035,0.2035,-0.0211,-0.0211,,,0.019,0.0319
Li_1x1_c6.9_d1.00,Li,1x1,6.9,1.0,0.16,0.26,True,0.1648,0.1648,-0.0079,-0.0079,,,0.0175,0.028900000000000002
Li_1x1_c8.4_d0.00,Li,1x1,8.4,0.0,0.65,0.79,True,0.541,0.541,-0.0303,-0.0303,,,0.0609,0.1218
Li_1x1_c8.4_d0.15,Li,1x1,8.4,0.15,0.65,0.79,True,0.537,0.537,-0.0301,-0.0301,,,0.0621,0.121
Li_1x1_c8.4_d0.30,Li,1x1,8.4,0.3,0.63,0.77,True,0.5253,0.5253,-0.0291,-0.0291,,,0.0621,0.1179
Li_1x1_c8.4_d0.50,Li,1x1,8.4,0.5,0.6,0.72,True,0.4972,0.4972,-0.0272,-0.0272,,,0.0606,0.1109
Li_1x1_c8.4_d0.75,Li,1x1,8.4,0.75,0.53,0.65,True,0.442,0.442,-0.0268,-0.0268,,,0.0559,0.0968
Li_1x1_c8.4_d1.00,Li,1x1,8.4,1.0,0.42,0.58,True,0.3772,0.3772,-0.0315,-0.0315,,,0.0487,0.07830000000000001
Li_1x1_c9.9_d0.00,Li,1x1,9.9,0.0,0.95,0.96,True,0.6762,0.6762,0.0171,0.0171,,,0.0809,0.1618
Li_1x1_c9.9_d0.15,Li,1x1,9.9,0.15,0.95,0.97,True,0.6753,0.6753,0.0209,0.0209,,,0.0819,0.1614
Li_1x1_c9.9_d0.30,Li,1x1,9.9,0.3,0.76,1.05,True,0.67,0.67,-0.0617,-0.0617,,,0.0826,0.16060000000000002
Li_1x1_c9.9_d0.50,Li,1x1,9.9,0.5,0.76,1.03,True,0.662,0.662,-0.0572,-0.0572,,,0.0828,0.158
Li_1x1_c9.9_d0.75,Li,1x1,9.9,0.75,0.77,0.97,True,0.6451,0.6451,-0.0438,-0.0438,,,0.0822,0.153
Li_1x1_c9.9_d1.00,Li,1x1,9.9,1.0,0.75,0.92,True,0.6175,0.6175,-0.0367,-0.0367,,,0.0802,0.1457
Na_1x1_c5.5_d0.00,Na,1x1,5.5,0.0,-0.0,0.0,True,-0.0,0.0,,,-0.0,0.0,-0.0,0.0
Na_1x1_c5.5_d0.15,Na,1x1,5.5,0.15,0.0,0.0,True,0.0,0.0,,,0.0,0.0,-0.0001,-0.0002
Na_1x1_c5.5_d0.30,Na,1x1,5.5,0.3,-0.0,0.0,True,-0.0001,-0.0001,,,-0.0,0.0,0.0001,0.0002
Na_1x1_c5.5_d0.50,Na,1x1,5.5,0.5,-0.0,0.0,True,-0.0001,-0.0001,,,0.0,0.0,0.0001,0.0001
Na_1x1_c5.5_d0.75,Na,1x1,5.5,0.75,0.0,0.0,True,0.0001,0.0001,,,-0.0,0.0,-0.0002,-0.0002
Na_1x1_c5.5_d1.00,Na,1x1,5.5,1.0,0.0,0.0,True,0.0003,0.0003,,,-0.0,0.0,-0.0004,-0.0004
Na_1x1_c6.9_d0.00,Na,1x1,6.9,0.0,0.18,0.23,True,0.1672,0.1672,,,-0.012,-0.012,0.0093,0.0186
Na_1x1_c6.9_d0.15,Na,1x1,6.9,0.15,0.17,0.23,True,0.1665,0.1665,,,-0.0117,-0.0117,0.0098,0.0186
Na_1x1_c6.9_d0.30,Na,1x1,6.9,0.3,0.17,0.23,True,0.1654,0.1654,,,-0.0099,-0.0099,0.0103,0.0187
Na_1x1_c6.9_d0.50,Na,1x1,6.9,0.5,0.17,0.22,True,0.1594,0.1594,,,-0.0071,-0.0071,0.0113,0.0194
Na_1x1_c6.9_d0.75,Na,1x1,6.9,0.75,0.16,0.21,True,0.1477,0.1477,,,-0.0041,-0.0041,0.0125,0.0204
Na_1x1_c6.9_d1.00,Na,1x1,6.9,1.0,0.15,0.18,True,0.1293,0.1293,,,-0.0016,-0.0016,0.0134,0.021
Na_1x1_c8.4_d0.00,Na,1x1,8.4,0.0,0.68,0.7,True,0.5305,0.5305,,,-0.003,-0.003,0.0525,0.105
Na_1x1_c8.4_d0.15,Na,1x1,8.4,0.15,0.67,0.7,True,0.5279,0.5279,,,-0.0027,-0.0027,0.0538,0.1046
Na_1x1_c8.4_d0.30,Na,1x1,8.4,0.3,0.67,0.69,True,0.5199,0.5199,,,-0.0021,-0.0021,0.0544,0.103
Na_1x1_c8.4_d0.50,Na,1x1,8.4,0.5,0.64,0.66,True,0.4997,0.4997,,,-0.0015,-0.0015,0.0542,0.0992
Na_1x1_c8.4_d0.75,Na,1x1,8.4,0.75,0.57,0.6,True,0.4513,0.4513,,,-0.0039,-0.0039,0.0511,0.08929999999999999
Na_1x1_c8.4_d1.00,Na,1x1,8.4,1.0,0.47,0.53,True,0.386,0.386,,,-0.0083,-0.0083,0.0463,0.0758
Na_1x1_c9.9_d0.00,Na,1x1,9.9,0.0,0.8,0.92,True,0.6509,0.6509,,,-0.0205,-0.0205,0.0694,0.1388
Na_1x1_c9.9_d0.15,Na,1x1,9.9,0.15,0.8,0.92,True,0.6497,0.6497,,,-0.0208,-0.0208,0.0707,0.1385
Na_1x1_c9.9_d0.30,Na,1x1,9.9,0.3,0.79,0.91,True,0.6464,0.6464,,,-0.0213,-0.0213,0.0716,0.13729999999999998
Na_1x1_c9.9_d0.50,Na,1x1,9.9,0.5,0.78,0.9,True,0.6377,0.6377,,,-0.0208,-0.0208,0.0723,0.135
Na_1x1_c9.9_d0.75,Na,1x1,9.9,0.75,0.76,0.87,True,0.6206,0.6206,,,-0.0194,-0.0194,0.0723,0.1308
Na_1x1_c9.9_d1.00,Na,1x1,9.9,1.0,0.74,0.83,True,0.5967,0.5967,,,-0.0147,-0.0147,0.0711,0.1249
Na_s3_c5.5_d0.00,Na,s3,5.5,0.0,2.3,2.34,True,0.604,1.7597,,,0.0008,0.0008,0.0613,0.3678
Na_s3_c5.5_d0.25,Na,s3,5.5,0.25,2.3,2.34,True,0.6065,1.7583000000000002,,,0.0006,0.0006,0.0634,0.3696
Na_s3_c5.5_d0.50,Na,s3,5.5,0.5,2.3,2.34,True,0.614,1.7553999999999998,,,0.0006,0.0006,0.0666,0.3753
Na_s3_c5.5_d0.75,Na,s3,5.5,0.75,2.31,2.35,True,0.6264,1.7555,,,0.0014,0.0014,0.0704,0.3804
Na_s3_c6.9_d0.00,Na,s3,6.9,0.0,2.29,2.33,True,0.5937,1.7763,,,0.0023,0.0023,0.0567,0.3402
Na_s3_c6.9_d0.25,Na,s3,6.9,0.25,2.29,2.34,True,0.5944,1.7757,,,0.0017,0.0017,0.059,0.34199999999999997
Na_s3_c6.9_d0.50,Na,s3,6.9,0.5,2.3,2.34,True,0.5964,1.7733,,,0.0011,0.0011,0.0617,0.34709999999999996
Na_s3_c6.9_d0.75,Na,s3,6.9,0.75,2.3,2.34,True,0.6002,1.769,,,0.0007,0.0007,0.0648,0.3555
Na_s3_c8.4_d0.00,Na,s3,8.4,0.0,2.29,2.33,True,0.5937,1.7713,,,0.0067,0.0067,0.0551,0.3306
Na_s3_c8.4_d0.25,Na,s3,8.4,0.25,2.29,2.33,True,0.5933,1.7709000000000001,,,0.0055,0.0055,0.0579,0.3312
Na_s3_c8.4_d0.50,Na,s3,8.4,0.5,2.29,2.33,True,0.5924,1.7716,,,0.0043,0.0043,0.0606,0.33330000000000004
Na_s3_c8.4_d0.75,Na,s3,8.4,0.75,2.3,2.34,True,0.5908,1.7717,,,0.003,0.003,0.0633,0.3378
Na_s3_c9.9_d0.00,Na,s3,9.9,0.0,2.52,2.65,True,0.6537,1.9575,,,-0.0214,-0.0214,0.0697,0.4182
Na_s3_c9.9_d0.25,Na,s3,9.9,0.25,2.51,2.64,True,0.6519,1.9519000000000002,,,-0.0206,-0.0206,0.0717,0.4158
Na_s3_c9.9_d0.50,Na,s3,9.9,0.5,2.48,2.63,True,0.6464,1.9348,,,-0.0206,-0.0206,0.073,0.4092
Na_s3_c9.9_d0.75,Na,s3,9.9,0.75,2.43,2.59,True,0.6377,1.9085,,,-0.0201,-0.0201,0.0734,0.3972
