c,alpha,beta,E0_meV,E1_meV,E2_meV,E3_meV,split01_meV,gap02_meV,d2_A2,d_rms_A,hw_eff_meV,mass
5.55,1.2831724286986994,0.8307502158569008,10.844277196449505,32.61848471151825,54.56209816102893,76.6714197652529,21.774207515068746,43.717820964579424,0.0041748006181678956,0.06461269703524142,21.776932237116096,Na
5.65,0.9939480521449164,0.822242486127929,9.561401232544924,28.792897899969383,48.23840323807935,67.89141346280826,19.231496667424455,38.67700200553442,0.004726816699535987,0.06875184869904218,19.233737194471146,Na
5.75,0.7018144438119084,0.8255053578542391,8.066039001315223,24.34979116299329,40.929402727961815,57.79077963093891,16.28375216167807,32.86336372664659,0.0055824761738683445,0.07471597000553727,16.285667387329678,Na
5.85,0.43529296539846085,0.8197077805648626,6.413560152644587,19.472178833752984,32.97343149093628,46.88067990052841,13.058618681108396,26.55987133829169,0.006960848171571968,0.08343169764287413,13.060814993294342,Na
5.95,0.24715385138093993,0.7651839035926308,4.933238331784725,15.145128003737721,25.995600644328327,37.39692864696705,10.211889671952996,21.062362312543602,0.008899404359511974,0.09433665437947211,10.215779224386004,Na
6.05,0.03550913986702018,0.7426815931982326,2.528561675736167,8.457339361220665,15.768388543178014,23.9892863051753,5.928777685484499,13.239826867441847,0.015269022022563654,0.1235678842683796,5.954169823775539,Na
6.15,-0.14675023219976518,0.7124386172945555,-3.321348420343218,-2.553413135294897,3.2835547194167924,8.004134198716521,0.7679352850483213,6.604903139760011,0.07241269668064235,0.26909607332817465,1.255502892901049,Na
6.25,-0.24561975671256922,0.6342318987649606,-17.35916705486942,-17.351525793300524,-6.0465644233796505,-5.585218054179433,0.00764126156889422,11.312602631489769,0.17860508494579083,0.4226169482472169,0.5090244221932788,Na
6.35,-0.37829274927415796,0.5968251114591477,-51.80054654496753,-51.800545732205066,-36.16536290767533,-36.165214177519346,8.127624684384216e-07,15.635183637292203,0.30553734075315986,0.5527543222383339,0.29755561117736284,Na
6.45,-0.42023439540955937,0.5074061447797716,-78.38163007065322,-78.38163006994303,-61.60579460562675,-61.6057944128283,7.10181913277097e-10,16.775835465026464,0.40341883401634854,0.6351526068720402,0.22535970683418405,Na
6.528,-0.49763899146099394,0.4831283591767142,-118.72443704089872,-118.72443704089872,-100.25729593712882,-100.25729593709839,0.0,18.4671411037699,0.5052730120750714,0.710825584848401,0.17993114216004275,Na
6.605,-0.5589289865778463,0.45335070997361326,-162.26783436251836,-162.26783436251836,-142.56650388402704,-142.56650388402704,0.0,19.701330478491318,0.6072867080848499,0.779286024566622,0.14970581268281297,Na
6.683,-0.6085759049354806,0.42299221670716486,-208.44068135104408,-208.44068135104408,-187.79439706899325,-187.79439706899325,0.0,20.646284282050814,0.7106204956589351,0.8429830933411032,0.1279365719405697,Na
6.761,-0.5976241194002001,0.36031314819919524,-237.43997400060223,-237.43997400060223,-216.93058938573077,-216.93058938573077,0.0,20.50938461487148,0.8204966517320516,0.90581270234638,0.11080404773547135,Na
6.839,-0.6322158430445267,0.33333503323578056,-289.09815866008086,-289.09815866008086,-267.95029155755293,-267.95029155755293,0.0,21.14786710252792,0.9397621682614713,0.9694133113700633,0.09674187069426425,Na
6.917,-0.6605763496955981,0.3080744778750463,-343.1871420557763,-343.1871420557763,-321.5288317918572,-321.5288317918572,0.0,21.658310263919066,1.0637443870501841,1.0313798461528052,0.08546635006688275,Na
6.994,-0.6620212240006633,0.28318307550374255,-375.9838701097308,-375.9838701097308,-354.2797116915599,-354.2797116915599,0.0,21.70415841817086,1.160546803966426,1.077286778887788,0.07833751284704134,Na
7.072,-0.6743520786694033,0.25699779029388514,-431.33031622850126,-431.33031622850126,-409.39639594361233,-409.39639594361233,0.0,21.93392028488894,1.303718222706188,1.1418048093725075,0.06973466243081082,Na
7.15,-0.6812872936457535,0.23250142955577333,-487.987038750839,-487.987038750839,-465.91712989631816,-465.91712989631816,0.0,22.069908854520868,1.4569108050378152,1.2070256024781807,0.06240213872458232,Na
5.55,1.2831724286986994,0.8307502158569008,19.800342607300596,59.68124545645518,100.11196225316357,141.0722284631083,39.88090284915458,80.31161964586298,0.007549953341582197,0.086890467495475,39.88418785652491,Li
5.65,0.9939480521449164,0.822242486127929,17.48244035919118,52.799646827859036,88.80303199351805,125.45796319157793,35.317206468667855,71.32059163432687,0.008525490757136748,0.09233358412374529,35.320401600528335,Li
5.75,0.7018144438119084,0.8255053578542391,14.79239339682742,44.8609238716941,75.85792052798814,107.71259768484956,30.068530474866677,61.06552713116073,0.010013282444183225,0.10006639018263437,30.072432198153653,Li
5.85,0.43529296539846085,0.8197077805648626,11.842890538710929,36.2442573943498,61.980438623107936,88.88676919694488,24.401366855638877,50.137548084397004,0.012336878261718125,0.11107150067284643,24.408424156868158,Li
5.95,0.24715385138093993,0.7651839035926308,9.230018789348811,28.70653827497487,50.00140532165449,72.77566483025811,19.47651948562606,40.77138653230568,0.015449288695224413,0.12429516762619701,19.491108187831575,Li
6.05,0.03550913986702018,0.7426815931982326,5.21204912025665,17.736294100341297,33.52603486409132,51.39047455843146,12.524244980084648,28.313985743834674,0.02391712347662094,0.15465161970254607,12.590299902829523,Li
6.15,-0.14675023219976518,0.7124386172945555,-1.5191195072491557,2.980356972664618,14.90003726151508,28.071350642704868,4.499476479913774,16.419156768764232,0.059883046724796156,0.24471012795713248,5.0285310092442925,Li
6.25,-0.24561975671256922,0.6342318987649606,-12.884880781926379,-12.242016941838303,2.6427917422415956,10.253187046462342,0.642863840088076,15.527672524167976,0.1561224919127317,0.39512338821276033,1.9287660201579568,Li
6.35,-0.37829274927415796,0.5968251114591477,-45.369403778724035,-45.363255716347986,-18.965245419174217,-18.502681684207122,0.006148062376046259,26.404158359549818,0.29529317269813693,0.5434088448839759,1.019745071083935,Li
6.45,-0.42023439540955937,0.5074061447797716,-71.48610763319591,-71.48596303361289,-42.190896162959596,-42.172709541778225,0.00014459958302959208,29.295211470236325,0.3941666825055697,0.627826952675313,0.763950305159055,Li
6.528,-0.49763899146099394,0.4831283591767142,-111.13920775574547,-111.13920667640213,-78.45007847784831,-78.44987481594988,1.0793433508071715e-06,32.68912927789716,0.49697158619596477,0.7049621168516538,0.6059174523207528,Li
6.605,-0.5589289865778463,0.45335070997361326,-154.17902505640635,-154.179025049916,-119.06431132673322,-119.06430968115659,6.490363801958665e-09,35.114713729673134,0.5995563305803169,0.7743102289007403,0.5022443130442831,Li
6.683,-0.6085759049354806,0.42299221670716486,-199.96615772710234,-199.96615772706718,-163.01113659915137,-163.0111365888213,3.5138558729386205e-11,36.95502112795096,0.7032745308893515,0.8386146498179909,0.428173841306133,Li
6.761,-0.5976241194002001,0.36031314819919524,-229.02291439216788,-229.02291439216788,-192.22798772113552,-192.22798772096138,0.0,36.79492667103234,0.8131186873882246,0.9017309395757831,0.3703318618231318,Li
6.839,-0.6322158430445267,0.33333503323578056,-280.42040448364105,-280.42040448364105,-242.39071049184895,-242.39071049184895,0.0,38.029693991792065,0.9326239164329028,0.9657245551568536,0.3228780133962247,Li
6.917,-0.6605763496955981,0.3080744778750463,-334.30096692895677,-334.30096692895677,-295.28534227046447,-295.28534227046447,0.0,39.015624658492285,1.056786757267702,1.0280013410826379,0.2849427808522231,Li
6.994,-0.6620212240006633,0.28318307550374255,-367.0794416513634,-367.0794416513634,-327.9451868669427,-327.9451868669427,0.0,39.134254784420676,1.1536104292913945,1.0740625816456852,0.2610272495270589,Li
7.072,-0.6743520786694033,0.25699779029388514,-422.3323376095325,-422.3323376095325,-382.73776988832856,-382.73776988832856,0.0,39.5945677212039,1.2968627346598436,1.1387988121963615,0.23219400892311445,Li
7.15,-0.6812872936457535,0.23250142955577333,-478.9338592896489,-478.9338592896489,-439.0563047243441,-439.0563047243441,0.0,39.87755456530484,1.4501041965610202,1.2042027223690455,0.20765663467341816,Li
